code,ident,latitude_deg,longitude_deg,time_zone
GAP,AYGP,-6.5,146.33333,UTC+10
PNP,AYGR,-8.80380505,148.31082121223585,UTC+10
GBC,AYGS,-6.10224325,141.7395892708135,UTC+10
GMI,AYGT,-6.2709086,150.33274406425977,UTC+10
AKG,AYGU,-3.633333,142.01666,UTC+10
GVI,AYGV,-3.966667,141.15,UTC+10
GOC,AYGX,-9.166667,148.81667,UTC+10
HBD,AYHB,-6.32042775,142.48902706934854,UTC+10
HNI,AYHE,22.213057,159.44695,UTC+10
HYF,AYHF,-3.633333,143.05,UTC+10
HEO,AYHG,-9.13662165,147.59857131851487,UTC+10
HNN,AYHH,-6.133333,142.23334,UTC+10
HKN,AYHK,-5.46145235,150.40481931573086,UTC+10
HIT,AYHO,-6.94283805,143.0551414177596,UTC+10
HWA,AYHU,-7.433333,145.96666,UTC+10
IIS,AYIA,-4.333333,154.34166,UTC+10
IDN,AYID,-6.2266791,147.24335835561104,UTC+10
IHU,AYIH,-7.89811105,145.39741327631762,UTC+10
IMN,AYII,-6.7,146.08333,UTC+10
ITK,AYIK,-9.3,148.2,UTC+10
KGM,AYIM,-5.18,39.78,UTC+10
IMD,AYIO,-3.433333,141.2,UTC+10
KIE,AYIQ,-6.304755,155.7252866,UTC+10
WSA,AYIW,-8.2831906,142.8705373,UTC+10
WIU,AYIX,-4.666667,149.5,UTC+10
MPX,AYIY,-4.9,141.61667,UTC+10
JAQ,AYJB,-5.6,151.51666,UTC+10
KGH,AYJO,-4.833333,142.66667,UTC+10
JOP,AYJS,-4.74841855,145.00650776801166,UTC+10
LSA,AYKA,-8.363889,151.025,UTC+10
KBM,AYKB,-6.1551721,147.19190660256731,UTC+10
KDR,AYKC,41.61667,25.333332,UTC+10
KMF,AYKD,-7.616667,145.99583,UTC+10
KPA,AYKG,-5.383333,142.55,UTC+10
KAQ,AYKH,-8.1497659,146.83403170693762,UTC+10
UNG,AYKI,-6.12578775,141.28035046233754,UTC+10
KNE,AYKJ,-5.288931,144.7092909,UTC+10
KRI,AYKK,-7.483333,144.26666,UTC+10
KMA,AYKM,-7.9632785,145.77134686530968,UTC+10
KKD,AYKO,-8.8852451,147.73129469652469,UTC+10
KGW,AYKQ,-9.05,146.83333,UTC+10
KRX,AYKR,-4.5,145.96666,UTC+10
KUY,AYKS,-7.42071535,143.12189263481963,UTC+10
KZF,AYKT,-7.466667,146,UTC+10
KUQ,AYKU,-7.133333,143.26666,UTC+10
KVG,AYKV,-2.57738425,150.8052784188705,UTC+10
KWO,AYKW,-7.9793654,142.823906,UTC+10
LNV,AYKY,-3.04601225,152.63153224026627,UTC+10
LAB,AYLB,-5.633333,148.06667,UTC+10
KEG,AYLG,-5.8325365,145.09762766425712,UTC+10
KII,AYLI,-9.016389,142.69528,UTC+10
LGN,AYLL,-5.683333,149.41667,UTC+10
LMY,AYLM,-6.833333,141.36667,UTC+10
LNM,AYLN,-7.22214215,146.21679472212242,UTC+10
LWI,AYLO,-6.316667,146.58333,UTC+10
LPN,AYLP,-6.58,146.45,UTC+10
LNG,AYLS,-8.166667,146.11667,UTC+10
LNC,AYLT,-6.3844947,147.3688609027392,UTC+10
LMI,AYLU,-3.4765865,142.0399482961893,UTC+10
LSJ,AYLX,-5.333333,147.08333,UTC+10
MRM,AYMA,-9.166667,147.6,UTC+10
OBM,AYMB,-7.75,147.6,UTC+10
MYX,AYMC,-7.2118919,146.01938490925158,UTC+10
MAG,AYMD,-5.20855725,145.7882759984853,UTC+10
HGU,AYMH,-5.8275371,144.29964153501777,UTC+10
MXK,AYMI,-6.383333,147.61667,UTC+10
MPG,AYMJ,-6.533333,147.71666,UTC+10
GUV,AYML,-6.2800839,142.42062700877923,UTC+10
MMV,AYMM,45.19,-123.14,UTC+10
MDU,AYMN,-6.158611,143.65,UTC+10
MAS,AYMO,-2.0629359,147.4244223228972,UTC+10
MLQ,AYMP,-7.991667,146.085,UTC+10
MQO,AYMQ,-8.703889,142.65111,UTC+10
MXH,AYMR,-6.36246295,143.232816,UTC+10
MIS,AYMS,-10.5,152.84166,UTC+10
MKN,AYMV,-4.016667,153.675,UTC+10
MWG,AYMW,-6.133333,146.13333,UTC+10
MPU,AYMZ,-2.9,151.4,UTC+10
NKN,AYNA,-5.833333,143.45,UTC+10
KEX,AYNB,-7.483333,145.91667,UTC+10
NDN,AYNC,-9.14364895,147.6841477,UTC+10
AUI,AYND,-1.4610532,143.06447133878473,UTC+10
GBF,AYNE,-6.56774825,144.7040875277135,UTC+10
MFO,AYNG,-5.57744085,151.79214334828256,UTC+10
NUG,AYNI,-3.466667,150.81667,UTC+10
NDI,AYNJ,-9.433333,148.26666,UTC+10
KSB,AYNM,-6.381604,146.98550760964184,UTC+10
KDP,AYNN,-5.84057595,143.50714258950853,UTC+10
NMN,AYNO,-16.316668,145.06667,UTC+10
BXZ,AYNS,-5.7239684,147.86660611449997,UTC+10
UKU,AYNU,-3.683333,142.46666,UTC+10
ATN,AYNX,-3.66958625,152.43814978543128,UTC+10
NBA,AYNY,-6.25,145.23334,UTC+10
LAE,AYNZ,-6.5684807,146.72620196586914,UTC+10
OBX,AYOB,-7.5830002,141.3170013,UTC+10
KGB,AYOE,-6.133333,147.65,UTC+10
OKV,AYOF,-5.55689305,141.0320208205246,UTC+10
OGE,AYOG,-6.466667,147.46666,UTC+10
OKP,AYOJ,-5.25,142.08333,UTC+10
HOC,AYOK,-7.39847905,145.8829293819037,UTC+10
KQL,AYOL,-5.65,144.86667,UTC+10
OSE,AYOM,-7.82732305,147.08075878830908,UTC+10
KMB,AYON,-5.48775765,144.60745567616368,UTC+10
KOM,AYOO,-6.133333,143.63333,UTC+10
KSP,AYOP,-8.55,147.46666,UTC+10
KCJ,AYOQ,-7.266667,143.6,UTC+10
OLQ,AYOV,-5.466667,141.5,UTC+10
KDE,AYOW,-5.6954202,142.7444630326167,UTC+10
OPB,AYOY,-4.933333,151.66667,UTC+10
PLE,AYPB,-5.383333,142.98334,UTC+10
PGB,AYPC,-7.016667,141.55,UTC+10
PDI,AYPD,-6.5,147.58333,UTC+10
APR,AYPE,-8.5,145,UTC+10
PGN,AYPG,-6.3,144.2,UTC+10
PMP,AYPJ,-6.666667,143.41667,UTC+10
MPF,AYPO,-7.966667,143.16667,UTC+10
PMN,AYPQ,-9.716667,149.4,UTC+10
POM,AYPY,-9.4402674,147.21712862095984,UTC+10
KRJ,AYQA,-4.5968995,143.52293596367795,UTC+10
TLP,AYQL,-4.7744129,141.0129538,UTC+10
SPH,AYQO,-9,147.76666,UTC+10
ONB,AYQQ,-8.583333,147.2,UTC+10
SXA,AYQS,-6.033333,147.61667,UTC+10
KIQ,AYRA,-8.116667,147.35,UTC+10
RBP,AYRE,-9.96958915,149.83119998404325,UTC+10
RMN,AYRG,-6.166667,141.16667,UTC+10
KMR,AYRI,-6.4929206,144.8249655180827,UTC+10
RKU,AYRK,-8.816667,146.51666,UTC+10
MWI,AYRM,-5.12833785,143.4844028111116,UTC+10
